culture,line,transfer,Tsample,colony,range.perc.spore,perc.spore,range.veg.ml,veg.ml,range.spore.ml,spore.ml,range.cell.ml,cell.ml,range.growth.rate,growth.rate,range.Max.OD,Max.OD,range.lag.time,lag.time,host,phage,seed.bank,flask
WLCt,L3,D14,T48H,C15,0.7928908578770617,60.945464266390005,8926171.136708409,216179999.23551244,25181465.973840296,338046113.3416731,34107637.110548735,554226112.5771855,6.200000000000025e-4,0.032659999999999995,0.05532999999999999,0.601,2.3499999999999996,8.25,WT,no_Phage,long,WLCt-L3
WLCt,L3,D14,T48H,C2,1.1511309009117667,81.41069683917937,1385487.345573485,99157846.87123013,39254789.399261475,436772244.79103804,40640276.7448349,535930091.66226816,6.250000000000006e-4,0.037385,0.04632999999999998,0.597,1.5500000000000007,8.649999999999999,WT,no_Phage,long,WLCt-L3
WLCt,L3,D14,T48H,C3,1.540717809449859,80.46368268121148,18136818.68797876,82115229.20112018,41924853.58982915,333468971.23688793,60061672.27780789,415584200.4380081,0.0016149999999999984,0.035975,0.00733499999999998,0.628665,0.45000000000000107,8.45,WT,no_Phage,long,WLCt-L3
WLCt,L3,D14,T48H,C4,3.7761447668922443,80.00532357423039,28448031.610848963,94074698.27751563,26948621.62887937,365961954.9622128,55396653.23972833,460036653.23972845,0.0016200000000000034,0.03136,0.037165000000000004,0.572165,0.3000000000000007,8,WT,no_Phage,long,WLCt-L3
WLCt,L3,D14,T48H,C5,0.5748847061813365,82.51446640109079,1138828.6302163452,71585979.32278863,8093552.592053175,338043846.31098676,6954723.9618368745,409629825.63377535,0.0017850000000000019,0.030914999999999998,0.051669999999999994,0.556,0.7999999999999989,14.3,WT,no_Phage,long,WLCt-L3
WLCt,L3,D14,T48H,C6,1.1886661610371902,83.56395891445517,17750459.652068935,61412072.596393056,63650354.85349578,306343691.5842895,81400814.50556469,367755764.18068254,5.649999999999995e-4,0.030165,0.021834999999999938,0.610835,0.09999999999999964,7.5,WT,no_Phage,long,WLCt-L3
WLCt,L3,D14,T48H,C7,0.8464913634631177,11.244486898764745,2527062.444244683,429742595.5823291,4297860.698841326,54461223.800562084,1770798.2545966506,484203819.3828912,9.99999999999994e-5,0.03072,0.044499999999999984,0.49850000000000005,1.4000000000000004,10.1,WT,no_Phage,long,WLCt-L3
WLCt,L3,D14,T48H,C8,0.33231435265679465,90.9178789101546,2281449.2472054884,32868957.93245215,9612489.96496594,328604229.330364,11893939.212171495,361473187.2628161,0.001015000000000002,0.034605,0.011830000000000007,0.6315,0.75,7.05,WT,no_Phage,long,WLCt-L3
WLCt,L3,D14,T48H,C9,1.8129096728989538,83.46724642299472,5093552.071307942,72451219.20084572,22548799.390327334,367691232.34940684,17455247.319019437,440142451.55025256,0.0011599999999999944,0.0374,0.020669999999999966,0.6890000000000001,0.25,8.35,WT,no_Phage,long,WLCt-L3
WLO,L1,D14,T24H,C1,1.1200805192375425,2.6650737172418895,6167996.803843081,488893318.692255,5950461.9595121555,13525569.255649496,12118458.763355196,502418887.9479045,6.250000000000006e-4,0.025835,0.00466500000000003,0.963665,4.949999999999999,15.95,WT,SPO1,long,WLO-L1
WLO,L1,D14,T24H,C10,2.3813844833068547,8.376840189801815,930330.3960308116,14885743.333034694,508298.5668116475,1398350.92283259,1438628.9628424589,16284094.255867286,1.9999999999999185e-5,0.02224,0.0021700000000000053,0.5495,11.200000000000003,29.4,WT,SPO1,long,WLO-L1
WLO,L1,D14,T24H,C11,0.6912841622053829,3.916855960914785,300030.2254375797,12171456.16161172,103390.79729593813,499074.2505333482,403421.02273351885,12670530.412145069,0.0011350000000000006,0.025305,0.10283500000000001,0.49016499999999996,5.050000000000001,19.45,WT,SPO1,long,WLO-L1
WLO,L1,D14,T24H,C12,10.336082588644018,25.197534680183487,18251840.04537013,186133045.719129,28429417.66692841,64106043.32597938,10177577.621558279,250239089.04510838,1.0499999999999746e-4,0.023085,0.05500000000000005,0.627,1.799999999999999,9.8,WT,SPO1,long,WLO-L1
