culture,line,Time,seed.bank,phage.ml,spore.ml,veg.ml,cell.ml,host,phage,flask
SNO,L1,0,no-seed-bank,100000,1,512973585.4102929,512973586.4102929,dSpoIIE,SPO1,SNO-L1
SNO,L2,0,no-seed-bank,100000,1,512973585.4102929,512973586.4102929,dSpoIIE,SPO1,SNO-L2
SNO,L3,0,no-seed-bank,100000,1,512973585.4102929,512973586.4102929,dSpoIIE,SPO1,SNO-L3
WLO,L1,0,with-seed-bank,100000,184905757.84151375,318778846.08747584,503684603.9289896,WT,SPO1,WLO-L1
WLO,L2,0,with-seed-bank,100000,184905757.84151375,318778846.08747584,503684603.9289896,WT,SPO1,WLO-L2
WLO,L3,0,with-seed-bank,100000,184905757.84151375,318778846.08747584,503684603.9289896,WT,SPO1,WLO-L3
SNCt,L1,0,no-seed-bank,NA,1,595457114.8982598,595457115.8982598,dSpoIIE,no_Phage,SNCt-L1
SNCt,L2,0,no-seed-bank,NA,1,595457114.8982598,595457115.8982598,dSpoIIE,no_Phage,SNCt-L2
SNCt,L3,0,no-seed-bank,NA,1,595457114.8982598,595457115.8982598,dSpoIIE,no_Phage,SNCt-L3
WLCt,L1,0,with-seed-bank,NA,194050875.64228034,296742844.8591957,490793720.50147605,WT,no_Phage,WLCt-L1
WLCt,L2,0,with-seed-bank,NA,194050875.64228034,296742844.8591957,490793720.50147605,WT,no_Phage,WLCt-L2
WLCt,L3,0,with-seed-bank,NA,194050875.64228034,296742844.8591957,490793720.50147605,WT,no_Phage,WLCt-L3
SNO,L1,0.5,no-seed-bank,361670579.1450105,1,661284610.2623761,661284611.2623761,dSpoIIE,SPO1,SNO-L1
SNO,L2,0.5,no-seed-bank,244321035.73683628,1,657202673.7884946,657202674.7884946,dSpoIIE,SPO1,SNO-L2
SNO,L3,0.5,no-seed-bank,240321073.52552438,1,602939150.1364036,602939151.1364036,dSpoIIE,SPO1,SNO-L3
WLO,L1,0.5,with-seed-bank,391636461.0572784,8259034.35528724,435609257.65163475,443868292.006922,WT,SPO1,WLO-L1
WLO,L2,0.5,with-seed-bank,264602780.51677114,13747100.117490243,543447749.0291266,557194849.1466169,WT,SPO1,WLO-L2
