culture,line,Time,seed.bank,phage.ml,spore.ml,veg.ml,cell.ml
SNO,L1,-0.5,none,NA,1,41456666.66666667,41456667.66666667
SNO,L2,-0.5,none,NA,1,41456666.66666667,41456667.66666667
SNO,L3,-0.5,none,NA,1,41456666.66666667,41456667.66666667
WLO,L1,-0.5,long,NA,4291666.666666667,33995000,38286666.666666664
WLO,L2,-0.5,long,NA,4291666.666666667,33995000,38286666.666666664
WLO,L3,-0.5,long,NA,4291666.666666667,33995000,38286666.666666664
WSO,L1,-0.5,short,NA,4291666.666666667,33995000,38286666.666666664
WSO,L2,-0.5,short,NA,4291666.666666667,33995000,38286666.666666664
WSO,L3,-0.5,short,NA,4291666.666666667,33995000,38286666.666666664
SNO,L1,0,none,100000,1,512973585.4102929,512973586.4102929
SNO,L2,0,none,100000,1,512973585.4102929,512973586.4102929
SNO,L3,0,none,100000,1,512973585.4102929,512973586.4102929
WLO,L1,0,long,100000,184905757.84151375,318778846.08747584,503684603.9289896
WLO,L2,0,long,100000,184905757.84151375,318778846.08747584,503684603.9289896
WLO,L3,0,long,100000,184905757.84151375,318778846.08747584,503684603.9289896
WSO,L1,0,short,100000,184905757.84151375,318778846.08747584,503684603.9289896
WSO,L2,0,short,100000,184905757.84151375,318778846.08747584,503684603.9289896
WSO,L3,0,short,100000,184905757.84151375,318778846.08747584,503684603.9289896
SNCt,L1,0,none,NA,1,595457114.8982598,595457115.8982598
SNCt,L2,0,none,NA,1,595457114.8982598,595457115.8982598
SNCt,L3,0,none,NA,1,595457114.8982598,595457115.8982598
WLCt,L1,0,long,NA,194050875.64228034,296742844.8591957,490793720.50147605
WLCt,L2,0,long,NA,194050875.64228034,296742844.8591957,490793720.50147605
WLCt,L3,0,long,NA,194050875.64228034,296742844.8591957,490793720.50147605
WSCt,L1,0,short,NA,194050875.64228034,296742844.8591957,490793720.50147605
WSCt,L2,0,short,NA,194050875.64228034,296742844.8591957,490793720.50147605
WSCt,L3,0,short,NA,194050875.64228034,296742844.8591957,490793720.50147605
SNO,L1,0.5,none,361670579.1450105,1,661284610.2623761,661284611.2623761
SNO,L2,0.5,none,244321035.73683628,1,657202673.7884946,657202674.7884946
SNO,L3,0.5,none,240321073.52552438,1,602939150.1364036,602939151.1364036
WLO,L1,0.5,long,391636461.0572784,8259034.35528724,435609257.65163475,443868292.006922
WLO,L2,0.5,long,264602780.51677114,13747100.117490243,543447749.0291266,557194849.1466169
WLO,L3,0.5,long,347950007.6389067,3989470.7857374437,538106254.4124391,542095725.1981765
WSO,L1,0.5,short,194010687.9116755,22335083.992576227,550223099.8944645,572558183.8870407
WSO,L2,0.5,short,315865647.19280165,30369115.096915044,836950540.0508813,867319655.1477963
WSO,L3,0.5,short,346412991.9891357,13659066.873070367,523822436.19381785,537481503.0668882
SNCt,L1,0.5,none,NA,1,497433747.26027554,497433748.26027554
SNCt,L2,0.5,none,NA,1,370151367.4805189,370151368.4805189
SNCt,L3,0.5,none,NA,1,408846238.88594246,408846239.88594246
